IN1;IN00017438;A53400T;MSE02-2-123-F03-1130-YDJMP
IN1;IN00017813;A53400T;MSE02-2-123-F03-1130-YDJMP
IN1;N1C1278159;3585009;MSE02-2-1LU-F03-3D81-Y38FPZ
IN1;N1C1279899;3585009;MSE02-2-1LU-F03-3D81-Y38FPZ
IN1;N1C1279900;3585009;MSE02-2-1LU-F03-3D81-Y38FPZ
IN1;N1C1284139;3585009;MSE02-2-1LU-F03-3D81-Y38FPZ
IN1;N1C1290312;3585009;MSE02-2-1LU-F03-3D81-Y38FPZ
IN1;N1C1293001;3585009;MSE02-2-1LU-F03-3D81-Y38FPZ
IN1;N1C1298086;3585009;MSE02-2-1LU-F03-3D81-Y38FPZ
IN1;N1J1322094;A51228H;MS05-E-H7A-F04-3AC7-FMPSTZ
IN1;N1P1277338;B29525R;MSE02-A-HLU-F03-2AC5-Y3FJMZ
IN1;N1P1277340;B29576W;MS05-A-BLA-T04-2AC6-5EFJMZ
IN1;N1P1277341;B29576W;MS05-A-BLA-T04-2AC6-5EFJMZ
IN1;N1P1306326;B15635T;MSE08-3-D21-T09-1120-5EJMPW
IN1;N1P1312621;B32856M;MS02-0-123-R02-1120-YBJ0
IN1;N1P1312622;B32856M;MS02-0-123-R02-1120-YBJ0
IN1;N1S1187789;B22104A;MSE02-2-1LA-F03-2A81-YJKM
IN1;N1S1281455;001430025A;ARB-R-MS08-275-8D22-TD
IN1;N1T1191256;A01498D;MS05-2-133-F05-1230-DF00
IN1;N1T1287541;B13302H;MSE02-1-1LA-F03-2AC5-Y3DFJM
IN1;N1T1301510;A24683E;MSE02-1-12A-F03-1120-YDJP
IN1;N1T1301520;A24824H;MSE02-2-GE3-F03-1120-YDJ0
IN1;N1T1307337;A24709H;MSE02-2-123-F03-1120-YDGJP
IN1;N1T1312577;A25251W;MSE02-2-123-R02-1120-YDJP
IN1;N1T1315629;A24824H;MSE02-2-GE3-F03-1120-YDJ0
IN1;N1T1315630;A24824H;MSE02-2-GE3-F03-1120-YDJ0
IN1;N1T1316970;A24870H;MSE02-0-DE3-R02-1130-YDJ0
IN1;N1T1316971;A24871J;MSE02-0-GE3-R02-1130-YDJ0
IN1;N1T1317609;A25967A;MSE02-0-GE3-F03-1130-YDJ0
IN1;N1T1320561;B13302H;MSE02-1-1LA-F03-2AC5-Y3DFJM
IN1;N1T1320565;B13305L;MSE02-1-1LA-F03-2AC5-Y3DFJM
IN1;N1X1065825;A01498D;MS05-2-133-F05-1230-DF00
IN1;N1X1065834;A07935A;MSE05-2-11A-A05-2AC1-DFP0
IN1;N1X1085751;A44908N;GLACE-MS05-1C-CRG
IN1;N1X1130673;001830009Q;ARB-M-MS05-NFM1.66Z28-TD
IN1;N1X1145683;A24453E;MSE02-2-123-R02-1121-YDFJP
IN1;N1X1149733;A18840D;CVR-MS02-2C-JJ-NG
IN1;N1X1152157;A22916J;GLACE-MS02-1C-HF-CAST-NG
IN1;N1X1152945;A32271C;GLACE-MS02-2C-CAST-NG
IN1;N1X1153440;A22916J;GLACE-MS02-1C-HF-CAST-NG
IN1;N1X1159475;A24709H;MSE02-2-123-F03-1120-YDGJP
IN1;N1X1160606;B18104C;MSE02-2-123-F03-1130-YDJMP
IN1;N1X1176675;A17724Q;GLACE-MS02-1C-CAST-NG
IN1;N1X1176682;A17724Q;GLACE-MS02-1C-CAST-NG
IN1;N1X1177581;A17724Q;GLACE-MS02-1C-CAST-NG
IN1;N1X1177595;A17724Q;GLACE-MS02-1C-CAST-NG
IN1;N1X1177599;A17724Q;GLACE-MS02-1C-CAST-NG
IN1;N1X1177611;A17724Q;GLACE-MS02-1C-CAST-NG
IN1;N1X1178262;A17724Q;GLACE-MS02-1C-CAST-NG
IN1;N1X1178267;A17724Q;GLACE-MS02-1C-CAST-NG
IN1;N1X1182062;B17071E;MS02-0-12A-T03-1120-YDFJZ
IN1;N1X1184659;A01498D;MS05-2-133-F05-1230-DF00
IN1;N1X1187548;B18105D;MSE02-1-123-R02-1130-YDP0
IN1;N1X1188596;A32271C;GLACE-MS02-2C-CAST-NG
IN1;N1X1193854;3585009;MSE02-2-1LU-F03-3D81-Y38FPZ
